"Form","Official form name","Section","Field label","Type","Required?","Our confidence","What the field is for (help text)","Evidence we have","REVIEW — Is this box on the real form? (Y/N)","REVIEW — Correct label / type / required, if wrong","REVIEW — Comments"
"MG6","Case File Evidence and Information","8. Proceeds of crime / asset recovery","POCA details and timetable","textarea","No","documented","If Yes, provide details and the timetable for submission of the necessary information to the CPS.","MG6 specimen box 8 'If yes, provide details and timetable for submission of necessary information to CPS'","","",""
"MG6","Case File Evidence and Information","8. Proceeds of crime / asset recovery","Financial Investigation Unit contact number","text","No","documented","Contact number for the Financial Investigation Unit dealing with the case.","MG6 specimen box 8: 'Contact number for Financial Investigation Unit dealing:'","","",""
"MG6","Case File Evidence and Information","9. Additional information","Additional information","textarea","No","documented","Any other relevant information not catered for by the other sections. The Manual of Guidance gives as an example prosecution witnesses who were themselves involved in the offence and could be classed as accomplices. The guidance is expressly not exhaustive and officers may use this section to express opinions.","MG6 specimen box 9; Manual of Guidance 2011 s.3, MG6 Guidance Notes 4 and 11","","",""
"MG6","Case File Evidence and Information","Completion","Date MG6 completed","date","Yes","documented","The date this MG6 was completed.","MG6 specimen page 2: 'Date MG6 completed:'","","",""
"MG6","Case File Evidence and Information","Rationale for police charging decision","Evidential test applied","select","No","documented","Complete this section only where the charging decision is the police's own and the Director's Guidance on Charging requires the rationale to be evidenced on an MG6 — on the 2010/11 form, paragraph 4 (Full Code Test, anticipated not-guilty plea summary-only offence where the suspect raised a specific defence or denied the offence) or paragraph 18 (Threshold Test, imprisonable summary-only offence). The specimen cites Guidance v4; the current version is the sixth edition (December 2020).","MG6 specimen page 2 'Evidential test applied: Full code Test [ ] Threshold Test [ ]' with the two Word checkboxes; Manual of Guidance 2011 s.3, MG6 Guidance Note 14; Director's Guidance on Charging sixth edition","","",""
"MG6","Case File Evidence and Information","Rationale for police charging decision","Charge(s)","textarea","No","documented","The charge or charges to which the recorded rationale relates. (Non-police prosecutors' versions of the form label this box 'Allegation(s)'.)","MG6 specimen page 2 'Charge(s):'; its-training-uk MG6.docx variant 'Allegation(s)'","","",""
"MG6","Case File Evidence and Information","Rationale for police charging decision","Evidential criteria","textarea","No","documented","Comment on the evidential status of any witness, i.e. whether they are 'key' or not; the interview(s) conducted; and whether a guilty or not-guilty plea is anticipated.","MG6 specimen page 2 box 'Evidential criteria (comment on evidential status of any witness i.e. ""key"" or not; interview(s) conducted; whether ""guilty""/""not guilty"" plea anticipated)'","","",""
"MG6","Case File Evidence and Information","Rationale for police charging decision","Public interest","textarea","No","documented","The reason why the public interest requires a prosecution rather than any other disposal.","MG6 specimen page 2 'Public Interest:'; Manual of Guidance 2011 s.3, MG6 Guidance Note 14","","",""
"MG6","Case File Evidence and Information","Rationale for police charging decision","Unused material","textarea","No","documented","Comment on the documentation that should be retained and included on the MG6 schedules (MG6C / MG6D), and specify any information that should be disclosed to assist the defence in the early preparation of their case.","MG6 specimen page 2 box 'Unused material (comment on the documentation that should be retained and included on the MG6 schedules; specify any information which should be disclosed to assist the defence in the early preparation of their case)'","","",""
"MG6","Case File Evidence and Information","Rationale for police charging decision","Witness / victim issues","textarea","No","documented","Whether a Victim Personal Statement has been made; whether a witness summons should be sought if a witness retracts their statement; and whether a Special Measures application is required.","MG6 specimen page 2 box 'Witness/Victim issues (Victim personal statement made?; state whether a witness summons should be sought if witness retracts statement or if a Special Measures application is required)'","","",""
"MG6","Case File Evidence and Information","Rationale for police charging decision","Charging decision maker","text","No","documented","Name, rank and number, or job title, of the person who made the charging decision.","MG6 specimen page 2 'Charging Decision maker (name, rank & No./Job title):'","","",""
"MG6","Case File Evidence and Information","Rationale for police charging decision","Date of charging decision","date","No","documented","Date the charging decision recorded above was made.","MG6 specimen page 2 'Date:' alongside the charging decision maker box","","",""
"MG6","Case File Evidence and Information","Remand in custody — witness intimidation","Defendant full name (remand page)","text","No","documented","Page 3 is detached and handed to court staff to accompany the detainee to prison, so it repeats the defendant's name and the URN. A separate copy must be completed for each defendant for whom a remand in custody is sought, because co-defendants may be sent to different prisons and pose different threats.","MG6 specimen page 3 'Defendant full name:' and URN box; Manual of Guidance 2011 s.3, MG6 Guidance Note 2","","",""
"MG6","Case File Evidence and Information","Remand in custody — witness intimidation","Defendant date of birth (remand page)","date","No","documented","Date of birth as it appears on the custody record, used by prison staff to identify the detainee.","MG6 specimen page 3 'Defendant date of birth:'","","",""
"MG6","Case File Evidence and Information","Remand in custody — witness intimidation","Victim(s) / witness(es) the prisoner must not contact","textarea","No","documented","Names and contact details of the victims or witnesses the prisoner must be prevented from contacting by telephone, letter or visit because there is a risk of intimidation; show the age of anyone under 18. These contact details must not be disclosed to the prisoner. This section must be completed in all cases where a remand in custody is to be applied for and there is a risk of intimidation, in addition to the MG7. See the Prison Service Instruction on tackling witness intimidation by remand prisoners.","MG6 specimen page 3 numbered list 1-6 with the heading 'Name(s) and contact details of victim(s) and/or witness(es): (If under 18 years old, show age)' and the surrounding MUST/DO NOT instructions; Manual of Guidance 2011 s.3 marginal note and Guidance Note 2","","",""
"MG6","Case File Evidence and Information","Remand in custody — witness intimidation","Date (remand page)","date","No","documented","Date the remand / intimidation page was completed.","MG6 specimen page 3 'Date:' at the foot of the intimidation list","","",""
"MG12","Exhibit List","Case details","URN","text","Yes","documented","The Unique Reference Number for the case, entered in the segmented URN box at the head of the form, e.g. 01AB0123456/24.","MG12 specimen (bbpolice.uk/uploads/MG12.pdf) header 'URN'; identical in its-training-uk MG12.docx","","",""
"MG12","Exhibit List","Case details","Defendant full name","text","Yes","documented","The defendant named in the 'R v' box at the head of the form.","MG12 specimen header 'R v'","","",""
"MG12","Exhibit List","Exhibits (printed form has 12 rows; these five fields repeat per exhibit)","Police property reference","text","No","documented","The number used to identify the property in the police property store or property system.","MG12 specimen column 1 heading; Manual of Guidance 2011 s.3 marginal note 'Insert the number used to identify the property in the police property store/system'","","",""
"MG12","Exhibit List","Exhibits (printed form has 12 rows; these five fields repeat per exhibit)","Brief description of item (indicate if copy)","text","No","documented","A short description of the item, stating whether what is provided is a copy. List items in the order in which they appear in the statements. Consider photocopying non-documentary items such as knives so the prosecutor can see them.","MG12 specimen column 2 heading 'Brief description of item (indicate if copy)'; Manual of Guidance 2011 s.3 marginal notes on ordering and photocopying","","",""
"MG12","Exhibit List","Exhibits (printed form has 12 rows; these five fields repeat per exhibit)","Exhibit reference no.","text","No","documented","The exhibit reference: the initials of the person producing the item plus a sequential number, e.g. WR1, WR2. Where two producers share initials, use the second letter of the family name to distinguish them — Walter Roberts becomes WRo1, William Richards WRi1.","MG12 specimen column 3 heading; Manual of Guidance 2011 s.3 marginal note giving the WR1 / WRo1 / WRi1 convention","","",""
"MG12","Exhibit List","Exhibits (printed form has 12 rows; these five fields repeat per exhibit)","Person producing","text","No","documented","The person who produces the exhibit in evidence — the same person whose initials form the exhibit reference.","MG12 specimen: 'Person producing and current location of exhibit' column with the printed sub-label 'Person producing:' in every row","","",""
"MG12","Exhibit List","Exhibits (printed form has 12 rows; these five fields repeat per exhibit)","Current location of exhibit","text","No","documented","Where the exhibit is now. Accurate location information is vital so that the item can be found by people other than the officers involved in the case.","MG12 specimen: printed sub-label 'Current location:' in every row; Manual of Guidance 2011 s.3 marginal note on the importance of accurate current location","","",""
"MG12","Exhibit List","Exhibits (printed form has 12 rows; these five fields repeat per exhibit)","Exhibit attached","checkbox","No","documented","Tick where the exhibit itself is submitted with the file. Police retain originals until the CPS requests them.","MG12 specimen '*' column with the legend '* Check box if exhibit attached'; Manual of Guidance 2011 s.3 marginal note 'Tick if the original exhibit is submitted with the file. Police should retain originals until requested by the CPS'","","",""
"MG12","Exhibit List","Completion","Date of completion","date","Yes","documented","Date this exhibit list was completed. Dating the form lets the CPS and supervisors work out the chronological order of submissions where further items are exhibited later; additional exhibits are added to an MG12 as they become known, marked 'ADDITIONAL', and sent to the CPS under cover of an MG20.","MG12 specimen footer 'Date of completion:'; Manual of Guidance 2011 s.3 marginal notes on dating the form and on 'ADDITIONAL' exhibits forwarded under MG20","","",""
"MG14","Conditional Caution","Offender details","Offender surname","text","Yes","documented","Surname of the person to be cautioned, in block capitals.","MG14.docx box 'Offender surname'; 2013 form 'Offender surname:'","","",""
"MG14","Conditional Caution","Offender details","Forename(s)","text","Yes","documented","All forenames of the person to be cautioned.","MG14.docx box 'Forename(s)'","","",""
"MG14","Conditional Caution","Offender details","Date of birth","date","Yes","documented","Date of birth as verified from custody or identity records. Age determines whether the appropriate adult and YOT sections below must be completed.","MG14.docx box 'Date of birth'; 2013 form 'D.O.B:'","","",""
"MG14","Conditional Caution","Offender details","Gender","select","No","documented","As recorded on the custody or occurrence record. The 2013 form offered a Male / Female dropdown only.","MG14.docx box 'Gender'; 2013 form FORMDROPDOWN with entries 'Male', 'Female'","","",""
"MG14","Conditional Caution","Offender details","Ethnicity code","text","No","documented","Ethnicity code as recorded on PNC. The 2013 form carried two separate boxes — the PNC code and the self-defined 16+1 code (British W1, Irish W2, Any other white W9, White/Black Caribbean M1 … Any other ethnic group O9, Not stated); the 2026 template has a single box.","MG14.docx box 'Ethnicity code'; 2013 form 'Ethnicity Code: PNC:' and '(16 + 1):' with the full 16+1 dropdown list","","",""
"MG14","Conditional Caution","Offender details","PNC No.","text","No","documented — NOT corroborated by our checker","Police National Computer identifier for the offender, where one exists.","MG14.docx box 'PNC No.'","","",""
"MG14","Conditional Caution","Offender details","A/S No.","text","No","documented","Arrest/summons number for this disposal.","MG14.docx box 'A/S No.'; 2013 form 'A/S No.'","","",""
"MG14","Conditional Caution","Offender details","URN","text","Yes","documented","The Unique Reference Number for the case, e.g. 01AB0123456/24. On the printed form this is four separate boxes (force, station, sequence, year). Safe to map to the case `urn`.","MG14.docx box 'URN'; 2013 form 'URN' followed by four FORMTEXT boxes","","",""
"MG14","Conditional Caution","Offender details","Address","textarea","Yes","documented","The offender's normal place of residence. The declaration obliges them to report any change of address, so record it precisely.","MG14.docx box 'Address'","","",""
"MG14","Conditional Caution","Offender details","Postcode","text","Yes","documented","Postcode for the address above.","MG14.docx box 'Postcode'","","",""
"MG14","Conditional Caution","Offender details","Contact details","textarea","No","documented","One contact per line as 'type — detail', e.g. 'Mobile — 07700 900123'. The printed form is a three-row table with columns 'Contact Type' and 'Detail'; the 2013 form had fixed 'Tel: (home)' and 'Mobile:' boxes instead.","MG14.docx table headed 'Contact details:' with columns 'Contact Type' / 'Detail'; 2013 form 'Tel: (home)' and 'Mobile:'","","",""
"MG14","Conditional Caution","Appropriate adult and YOT (young offenders only)","Appropriate adult — name","text","No","documented","Complete this section only where the offender is a young person. Name of the appropriate adult present when the caution was administered.","MG14.docx section 'To be completed where the offender is a young person' → 'Appropriate Adult' → 'Name'","","",""
"MG14","Conditional Caution","Appropriate adult and YOT (young offenders only)","Appropriate adult — relationship to offender","text","No","documented","How the appropriate adult is related to the young person, e.g. 'Mother', 'Social worker'.","MG14.docx box 'Relationship' under 'Appropriate Adult'","","",""
"MG14","Conditional Caution","Appropriate adult and YOT (young offenders only)","Appropriate adult — address","textarea","No","documented","Address of the appropriate adult.","MG14.docx box 'Address' under 'Appropriate Adult'","","",""
"MG14","Conditional Caution","Appropriate adult and YOT (young offenders only)","Appropriate adult — contact details","textarea","No","documented","One contact per line as 'type — detail'. The printed form is a two-row 'Contact Type' / 'Detail' table; the 2013 form had a single 'Telephone/Mobile Number:' box.","MG14.docx table 'Appropriate Adult contact details:' with columns 'Contact Type' / 'Detail'; 2013 form 'Telephone/Mobile Number:'","","",""
"MG14","Conditional Caution","Appropriate adult and YOT (young offenders only)","Appointed YOT worker — name","text","No","documented","Name of the Youth Offending Team worker appointed to the young person.","MG14.docx 'Appointed YOT Worker' → 'Name'","","",""
"MG14","Conditional Caution","Appropriate adult and YOT (young offenders only)","Appointed YOT worker — telephone","text","No","documented","Contact number for the appointed YOT worker.","MG14.docx 'Appointed YOT Worker' → 'Telephone'","","",""
"MG14","Conditional Caution","Details of the offence(s)","Details of the offence(s)","textarea","Yes","documented","One offence per line: sequential number, the offence stated as if charged, the CCCJS offence code, and the Act and section, e.g. '1 — On 04/03/26 at Chester assaulted Jane SMITH by beating — 00801 — s.39 Criminal Justice Act 1988'. Include the date(s) of offence and arrest — there is no separate date box. This is the 'details of the offence' the offender must sign to under s.23(4) CJA 2003.","MG14.docx section 'Details of the offence(s)', note 'Include facts as if charged, date(s) of offence / arrest.', table columns 'Sequential No.' / 'Offence' / 'CCCJS Offence Code' / 'Act / Section'","","",""
"MG14","Conditional Caution","Conditions","Conditions","textarea","Yes","documented","One condition per line: the condition, the compliance requirement (including completion and progress check dates), and the evidence required to prove compliance. Conditions must be rehabilitative, reparative or punitive (ss.22–23A CJA 2003). The printed form allows four numbered conditions.","MG14.docx section 'Conditions', lead-in 'I agree to comply with the following conditions of the caution:', table columns 'Condition(s)' / 'Compliance requirements (including completion / progress check dates)' / 'Evidence required'","","",""
"MG14","Conditional Caution","Conditions","Date condition set","date","Yes","documented — NOT corroborated by our checker","Date the conditions were set and agreed with the offender.","MG14.docx box 'Date condition set'","","",""
"MG14","Conditional Caution","Conditions","Date condition is to be met","date","Yes","documented — NOT corroborated by our checker","The date by which the offender must have complied. MoJ guidance allows up to 16 weeks; some forces set a shorter period (Cheshire recommends 12 weeks or less) so that a prosecution file can still be submitted inside any statutory time limit for summary offences.","MG14.docx box 'Date condition is to be met'; Cheshire procedure para 2.3.7 on the 16-week / 12-week periods","","",""
"MG14","Conditional Caution","Conditions","Contact details for reporting compliance with the conditions","text","Yes","documented","Who the offender reports compliance to, and how. The declaration requires them to notify this contact without delay if they cannot comply or change address.","MG14.docx box 'Contact details for reporting compliance with the conditions'","","",""
"MG14","Conditional Caution","Offender declaration","The offender has read the declaration above and confirms it","checkbox","Yes","documented","The offender declaration is fixed wording printed on the form and should be rendered read-only above this checkbox, as with the MG11 s.9 declaration. It opens 'I admit to the offence(s) and understand I have the right to legal advice.' and covers liability to prosecution for non-compliance, retention and future disclosure of the caution, DBS/barring consequences under the Safeguarding Vulnerable Groups Act 2006, Sex Offenders Register notification under Sch.3 Sexual Offences Act 2003, and the victim's right to bring a private prosecution or civil action. It is the s.23(4) CJA 2003 admission and consent, so it is never optional.","MG14.docx section 'Offender Declaration — I understand the following:' and its nine bullets; s.23(4) CJA 2003","","",""
"MG14","Conditional Caution","Offender declaration","Signature of person cautioned (typed name)","text","Yes","documented","Typed name standing in for the offender's signature in this draft. Without the signature there is no valid conditional caution (s.23(4) CJA 2003).","MG14.docx box 'Signature of person cautioned'; 2013 form 'Signature of person cautioned:' with 'Date:'","","",""
"MG14","Conditional Caution","Offender declaration","Signature of appropriate adult (where applicable)","text","No","documented","Typed name of the appropriate adult, where the offender is a young person or otherwise requires one under the PACE Codes.","MG14.docx box 'Signature of appropriate adult (where applicable)'","","",""
"MG14","Conditional Caution","Administration","Caution administered by","text","Yes","documented","Name of the officer or authorised person who administered the caution. Forces normally require a sergeant or higher.","MG14.docx box 'Caution administered by'; Cheshire procedure 2.5.4 on the rank requirement","","",""
"MG14","Conditional Caution","Administration","Rank & No. / job title","text","No","documented","Rank and collar number, or job title for a non-warranted authorised person. Present on the 2013 form as 'Rank & No. / Job title:'; not printed on the June 2026 template, so treat as optional until the client's in-use version is confirmed.","2013 MG14 'Caution administered by: … Rank & No. / Job title:' — NOT present in MG14.docx (June 2026)","","",""
"MG14","Conditional Caution","Administration","Station","text","Yes","documented","Station of the administering officer. Conditional cautions should be administered at a police station or custody suite other than in exceptional circumstances.","MG14.docx box 'Station'","","",""
"MG14","Conditional Caution","Administration","Telephone No.","text","No","documented","Contact number for the administering officer.","MG14.docx box 'Telephone No.'","","",""
"MG14","Conditional Caution","Administration","Signature of administering officer (typed name)","text","Yes","documented","Typed name standing in for the administering officer's signature. A copy of the completed, signed form must be given to the offender.","MG14.docx box 'Signature' in the administration block; Cheshire procedure 2.5.4 'Sergeant signs the … MG14 INITIAL and give a copy of the completed form to the offender'","","",""
"MG14","Conditional Caution","Administration","Date administered","date","Yes","documented","Date the conditional caution was administered.","MG14.docx box 'Date' in the administration block","","",""
"MG14","Conditional Caution","Finalisation (on the review date)","Conditions completed satisfactorily?","select","No","documented","Completed on the review date by the officer in the case or authorised person: whether the conditions have or have not been completed satisfactorily, with any supporting evidence attached. Printed on the 2013 form; dropped from the June 2026 template, and forces such as Cheshire capture it in a separate 'MG14 FINAL' document generated from NICHE. Non-compliance without reasonable excuse may lead to prosecution for the original offence.","2013 MG14 'For completion by the Officer in the Case / authorised person on the review date' — 'I hereby certify that the conditions shown above have / have not been completed satisfactorily (attach any relevant evidence in support of this).'; Cheshire procedure 2.4.2 'Update Custody or VA record Disposal by completing MG14 ""FINAL"" document'","","",""
"MG14","Conditional Caution","Finalisation (on the review date)","Name of officer / authorised person finalising the caution","text","No","documented","Name, rank and number (or job title) of whoever certifies the outcome on the review date. 2013 form only — see the note on the field above.","2013 MG14 'Name of officer / authorised person finalising the caution:' with 'Rank & No. / Job title:', 'Station:', 'Signature:', 'Tel. No:'","","",""
"MG14","Conditional Caution","Finalisation (on the review date)","Date finalised","date","No","documented","Date the caution was finalised as complete or not complied with. 2013 form only.","2013 MG14 'Date:' in the finalisation block","","",""
"MG15","Interview Record","Interview details","Type of record","select","Yes","documented","Which kind of interview record this is. The 2026 template set ships one file per type (ROTI, ROVI, Contemporaneous Notes, SDN, Voluntary Interview) and the type is printed as a subtitle under 'RECORD OF INTERVIEW'; the 2010/11 form used a dropdown and live force versions add 'Index of Interview with VIW'. Options: 'Record of Tape-Recorded Interview (ROTI)', 'Record of Video-Recorded Interview (ROVI)', 'Contemporaneous Notes', 'Short Descriptive Note (SDN)', 'Voluntary Interview', 'Index of Interview with VIW'.","MG15 (2026) subtitles across the five templates; 2010/11 MG15 dropdown entries 'Contemporaneous Note', 'ROTI', 'ROVI', 'SDN'; Wiltshire MG15(T) 'Enter type:' option list","","",""
"MG15","Interview Record","Interview details","URN","text","Yes","documented","The Unique Reference Number for the case, e.g. 01AB0123456/24. Printed as four boxes (force, station, sequence, year). Safe to map to the case `urn`.","MG15 (2026) box 'URN'; 2010/11 MG15 'URN' followed by four FORMTEXT boxes","","",""
"MG15","Interview Record","Interview details","Person interviewed","text","Yes","documented","Full name of the person interviewed, surname in block capitals. Do NOT auto-populate this from the defendant: MG15 is equally the record of a visually recorded interview with a vulnerable or intimidated witness, so prefilling the defendant would name the wrong person — the same hazard already documented for MG16 `subjectName`.","MG15 (2026) box 'Person interviewed:'; ONS 2020/21 'Person interviewed:'; Wiltshire MG15(T) 'Person Interviewed:'; official MoG purpose statement covering suspect and VIW interviews","","",""
"MG15","Interview Record","Interview details","Police Exhibit No.","text","Yes","documented","Exhibit reference for this record, which is itself produced as an exhibit by the interviewer or transcriber, e.g. 'AB/1'.","MG15 (2026) box 'Police Exhibit No.:'; ONS 2020/21 'Exhibit No:'; Wiltshire MG15(T) 'Police Exhibit No:'","","",""
"MG15","Interview Record","Interview details","Place of interview","text","Yes","documented","Where the interview took place, e.g. 'Interview room 2, Chester custody suite' or 'Salisbury Library — private room'.","MG15 (2026) box 'Place of interview:'; ONS 2020/21; Wiltshire MG15(T)","","",""
"MG15","Interview Record","Interview details","Number of pages","number","No","documented","Total number of pages in the completed record, including continuation sheets (MG15 Cont / MG15M Cont).","MG15 (2026) box 'Number of pages:'; Wiltshire MG15(T) 'Number of Pages:'","","",""
"MG15","Interview Record","Interview details","Date of interview","date","Yes","documented","Date the recorded interview took place. The 2026 template combines this with the start time in a single 'Date / time interview commenced' box; earlier versions print a separate 'Date of interview'.","2010/11 MG15 'Date of interview:'; ONS 2020/21 'Date of interview:'; Wiltshire MG15(T) 'Date of Interview:'; MG15 (2026) 'Date / time interview commenced:'","","",""
"MG15","Interview Record","Interview details","Time interview commenced","time","Yes","documented","Time the recording commenced, as announced on the recording.","MG15 (2026) 'Date / time interview commenced:'; 2010/11 MG15 'Time commenced:'; ONS 2020/21; Wiltshire MG15(T) 'Time Commenced:'","","",""
"MG15","Interview Record","Interview details","Time interview concluded","time","Yes","documented","Time the recording concluded.","MG15 (2026) 'Date / time interview concluded:'; 2010/11 MG15 'Time concluded:'; ONS 2020/21; Wiltshire MG15(T) 'Time Concluded:'","","",""
"MG15","Interview Record","Interview details","Duration of interview","text","No","documented","Total length of the recorded interview, e.g. '54 mins'. Recorded as free text on the form rather than derived, because breaks are excluded.","MG15 (2026) box 'Duration of interview:'; ONS 2020/21; Wiltshire MG15(T) '54 MINS'","","",""
"MG15","Interview Record","Interview details","Interview reference no(s).","text","No","documented — NOT corroborated by our checker","Reference numbers of the audio or visual recordings the record is taken from, one per line. The 2010/11 form and live force versions print two separate boxes, 'Audio tape reference nos.' and 'Visual image reference nos.'; the 2026 template merges them.","MG15 (2026) box 'Interview reference no(s).:'; 2010/11 MG15 'Audio tape reference nos.:' and 'Visual image reference nos.:'; Wiltshire MG15(T) same pair","","",""
"MG15","Interview Record","Interview details","Interviewer(s)","text","Yes","documented","Name, rank and collar number of each interviewing officer, as identified on the recording.","MG15 (2026) box 'Interviewer(s):'; 2010/11 MG15; ONS 2020/21; Wiltshire MG15(T) 'Interviewer(s):'","","",""
"MG15","Interview Record","Interview details","Other persons present","textarea","No","documented","Everyone else present and their role — solicitor, appropriate adult, interpreter, intermediary, second officer — one per line.","MG15 (2026) box 'Other persons present:'; 2010/11 MG15; ONS 2020/21; Wiltshire MG15(T) 'Other Persons Present:'","","",""
"MG15","Interview Record","Record of interview","Record of interview","textarea","Yes","documented","The body of the record, one turn per line as 'counter/time — speaker — text', e.g. '10:39 — DC 1234 JONES — Are we recording?'. The printed form is a three-column table: 'Tape counter / time', 'Person speaking', 'Text'. Include the caution and the opening announcements — they are transcribed in the body, not captured in a separate box. For a ROTI or SDN, follow local transcription standards for what is quoted verbatim and what is summarised; significant admissions and denials should be verbatim.","MG15 (2026) table columns 'Tape counter / time' / 'Person speaking' / 'Text'; 2010/11 MG15 'Tape counter times' / 'Person speaking' / 'Text'; ONS 2020/21 'Question number' / 'Person speaking' / 'Text', with the caution transcribed as line 1","","",""
"MG15","Interview Record","Certification","Signature (interviewer) — typed name","text","Yes","documented","Typed name standing in for the signature of the interviewer producing this record as an exhibit. Earlier versions label this 'Signature of interviewer/transcriber producing exhibit'.","MG15 (2026) box 'Signature (interviewer)'; 2010/11 MG15 'Signature of interviewer/transcriber producing exhibit'; ONS 2020/21 'Signature of transcriber producing exhibit'; Wiltshire MG15(T) 'Signature of interviewer producing exhibit:'","","",""
"MG15","Interview Record","Certification","Signature (other) — typed name","text","No","documented — NOT corroborated by our checker","Typed name for the second signature block on the form. Whose signature this is — second interviewer, transcriber, or the person interviewed — is not stated on the template and should be settled with a disclosure officer before this is relied on.","MG15 (2026) box 'Signature (other)'; 2010/11 MG15 footer 'Signature(s):'","","",""
"MG15","Interview Record","Certification","Date","date","Yes","documented — NOT corroborated by our checker","Date the record was signed and produced as an exhibit — often later than the interview date, since the recording is typed up afterwards under local procedures.","MG15 (2026) box 'Date' in the signature block","","",""
"MG16","Bad Character or Dangerous Offender Information","Case details","Defendant's full name","text","Yes","documented","Full name of the defendant, as charged or proposed to be charged. MG16 concerns the defendant only — there is no non-defendant version of this form, so this can be prefilled from the case file defendant.","criminaljusticehub MG16 .docx templates (box 'Defendant's full name'), corroborated by the bbpolice MG16 2010/11 specimen and the form title 'EVIDENCE OF DEFENDANT'S BAD CHARACTER…'","","",""
"MG16","Bad Character or Dangerous Offender Information","Case details","URN","text","Yes","documented","The Unique Reference Number for the case, e.g. 01AB0123456/24.","criminaljusticehub MG16 .docx templates (box 'URN'; the MG16_Bad_Chr variant combines it as 'URN / A/S No.')","","",""
"MG16","Bad Character or Dangerous Offender Information","Case details","A/S No.","text","No","documented","Arrest/summons number for the defendant, as it appears on the custody record and charge sheet.","criminaljusticehub MG16 .docx templates (box 'A/S No.')","","",""
"MG16","Bad Character or Dangerous Offender Information","Type of information","Bad character (BC) — evidence for trial","checkbox","No","documented","Tick if this form reveals evidence of, or a disposition towards, misconduct or other reprehensible behaviour that could be introduced at trial: offences of the kind charged (including previous convictions of the same or similar description or category), other related types of offence, or the defendant's untruthfulness (e.g. perjury, deception). Both BC and DO may apply.","criminaljusticehub MG16 .docx templates — table column '* BC', explanatory block 'Evidence of Bad Character (BC) (Evidence for trial)' and footnote '* May be applicable to BOTH Bad Character and Dangerous Offender provisions (tick as appropriate)'","","",""
"MG16","Bad Character or Dangerous Offender Information","Type of information","Dangerous offender (DO) — information for sentencing","checkbox","No","documented","Tick if this form reveals information for the sentencing court on whether the defendant poses a significant risk to the public of serious harm — relevant where a specified sexual or violent offence is charged (Sentencing Act 2020 Part 10 Ch.6, Sch.18).","criminaljusticehub MG16 .docx templates — table column '* DO' and block 'Dangerous Offender (DO) information (Information for sentencing — specified offences of sex / violence)'","","",""
"MG16","Bad Character or Dangerous Offender Information","Charges and material","Brief details of charge(s) or proposed charge(s)","textarea","Yes","documented","The charge or proposed charge each entry below relates to, one per line. On the paper form each charge occupies its own table row with its own BC/DO ticks.","criminaljusticehub MG16 .docx templates — table column heading 'Brief details of charge(s) or proposed charge(s)'","","",""
"MG16","Bad Character or Dangerous Offender Information","Charges and material","Relevant evidence / information","textarea","Yes","documented","For previous convictions, give more than the PNC printout shows: MO, plea entered and basis of plea, concurrent charges, other disposals (TICs, cautions, reprimands and final warnings, PNDs) and any previous defences used, if known. Spent convictions should be referred to only exceptionally.","criminaljusticehub MG16 .docx templates — table column 'Relevant Evidence / Information' plus the printed note on previous convictions; material categories corroborated by DG6 Part 2 para 15","","",""
"MG16","Bad Character or Dangerous Offender Information","Charges and material","Evidence or information other than convictions","textarea","No","likely","Non-conviction material: outstanding investigations, acquittals, discontinuances, previous allegations made against the defendant, and incident reports (including domestic abuse and racially aggravated incidents). DG6 also lists other reprehensible behaviour such as a pattern of excessive drinking, drug use, or association with a violent gang.","criminaljusticehub MG16 .docx templates — printed note 'Evidence or information (other than convictions): includes outstanding investigations, acquittals, discontinuances, previous allegations…'; DG6 Part 2 para 15. The category is documented but the form gives it no separate box — it shares the 'Relevant Evidence / Information' column.","","",""
"MG16","Bad Character or Dangerous Offender Information","Charges and material","Relevant documentation attached","checkbox","No","likely","Tick when the supporting documentation (PNC printout, previous case papers, incident reports) is attached to the file.","criminaljusticehub MG16 .docx templates — printed instruction '(Attach relevant documentation)'. The instruction is documented; a tick box for it is not.","","",""
"MG16","Bad Character or Dangerous Offender Information","Completion","Officer completing form (rank, number or job title)","text","Yes","documented","Name, rank/job title and collar number of the officer or police staff member completing this form.","criminaljusticehub MG16 .docx templates — sign-off block 'Officer completing form (rank, number or job title)' with 'Name:'","","",""
"MG16","Bad Character or Dangerous Offender Information","Completion","Date","date","Yes","documented","Date this form was completed. It should reach the prosecutor early enough for a notice to be served in time — 20 business days after a not guilty plea in the magistrates' court, 10 in the Crown Court (CrimPR 21.4).","criminaljusticehub MG16 .docx templates — 'Date:' in the officer sign-off block; deadline in helpText from CrimPR 2025 Part 21 r.21.4","","",""
"MG16","Bad Character or Dangerous Offender Information","Completion","Signature (typed name)","text","No","likely — NOT corroborated by our checker","Typed name standing in for the completing officer's signature in this draft.","criminaljusticehub MG16_Bad_Chr.docx variant (which prints 'Signature:' lines); the other two variants and the 2010/11 specimen show only Name and Date","","",""
"MG16","Bad Character or Dangerous Offender Information","CPS use","Duty Prosecutor / reviewing lawyer","text","No","documented","Completed by the CPS on receipt — leave blank. The form is revealed to the Duty Prosecutor with the MG3 for pre-charge advice or the charging decision, or post-charge where appropriate.","criminaljusticehub MG16 .docx templates — sign-off column 'Duty Prosecutor / Reviewing lawyer' with 'Name:'","","",""
